Group,Name,Basic relationship,Presetted values
,,"$math{\lim{(x, y)->(0, 0), 2xy/(x^2+y^2)}}
(Path x=0 -> 0, y=x -> 1) -> Nonexistent limit","$math{f(x, y)=2x^2/(x^4+y^2)}
Path x=0->3, y=x^2->1"
,,"$math{\lim{(x, y)->(0, 0), x^2y/(x^2+y^2)}=0}
$math{x^2<=x^2+y^2 -> |f(x, y)-0|=|x^2y/(x^2+y^2)|<=|y|<=\sqrt{x^2+y^2} -> |f(x, y) - 0|<\e -> (0<sqrt(x^2+y^2)<\d)}",
,,,
,,,
,Partial derivatives/Partiella derivator,"[Image of z=f(x, y)]
$math{f_(x') = \\df/(\\dx) = \lim{(\D*x)->0, (f(x+(\D*x), y)-f(x, y))/(\D*x)}, f_(y') = \\dy/(\\d*x) = \lim{(\D*x)->0, (f(x, y+(\D*y))-f(x, y))/(\D*y)}}",
,2nd derivative,"$math{\\d^2*f/(\\d*x^2) = f_(xx'), \\d^2*f/(\\d*y^2) = f_(xx'), \\d^2*f/(\\dx\\dy) = f_(xy'), \\d^2*f/(\\dy\\dx) = f_(yx')}",
,,"$math{f_(xy') = f_(yx')} if partial derivatives are continous, (f, all partials to f less than n derivative) continous in neighbourhood of P, n-derivative partials to f continous

$math{Q = f(a+h, b+k) - f(a+h, b) - f(a, b+k) - f(a, b)}, $math{u(x) = f(x, b+k) - f(x, b)}, $math{v(y) = f(a+h, y)-f(a, y)}
$math{0 < t_1 < 1}, $math{0 < t_2 < 1}
$math{Q = u(a+h)-u(a) = hu'(a+\t_1h) = h(f_(1')(a+\t_1h, b+k) - f_(1')(a+\t_1h, b)) = hkf_(12')(a+\t_1h, b+\t_2k)}
$math{Q = v(b+k)-v(b) = hv'(b+\t_1k) = h(f_(2')(a+h, b+\t_2k) - f_(2')(a, b+\t_2k)) = hkf_(21')(a+\t_2h, b+\t_1k)}",
,Chain rule/Kedjeregeln,"$math{\\du/(\\dt_k) = \S{l=0, n, ((\\du)/(\\dx_1))*((\\dx_1)/(\\dt_k))}, k=1, 2, 3, ..., m}","$math{g_1(s, t) = f_(1')(u(s, t), v(s, t))u_(1')(s, t) + f_(2')(u(s, t), v(s, t))u_(1')(s, t)}
$math{g_2(s, t) = f_(1')(u(s, t), v(s, t))u_(2')(s, t) + f_(2')(u(s, t), v(s, t))u_(2')(s, t)}
Multiple chain dependencies -> Dependency chart"
,,"$math{g(t) = f(x(t), y(t)) -> (df)/(dt) = (\\df/(\\dx))*(\dx/\dt) + (\\df/(\\dy))*(\dy/(\dt))}
$math{g(t) = f(u(t), v(t)), g'(t) = f_(1')(u(t), v(t)*u'(t)) + f_(2')(u(t), v(t))*v'(t)}",
,,"$math{f(x(s, t), y(s, t)) -> (\\df/(\\ds)) = (\\df/(\\dx))(\dx/(\ds)) + (\\df/(\\dy))*(\dy/(\ds))}
$math{(\\du/(\\dt)) = (\\du/(\\dx))*(dx/(dt)) + (\\du/(\\dy))*(dy/(dt))}",
,Homogenous functions,"$math{f(x_1, ..., x_n)} every point $math{(x_1, ..., x_n, t>0) -> f(tx_1, ..., tx_n) = t^k*f(x_1, ..., x_n)}

e.g. $math{f(x, y)=x^2+xy-y^2} homogenous 2",
,Euler's theorem,"$math{\S{i=1, n, x_i*f_(i')(x_1, ..., x_n)}=k*f(x_1, ..., x_n)}

$math{d/(dt)f(tx_1, tx_2, ..., tx_n) = d/(dt)t^kf(x_1, x_2, ..., x_n) -> t=1 -> \S{i=1, n, x_i*f_(i')(tx_1, ..., tx_n)} = k*t^(k-1)f(x_1, ..., x_n)}",
,,,
,Tangent plane,"$math{f(x, y) = x^2+y^2}
$math{(\\df/(\\d*x))(2, 1) = 4}, $math{(\\df/(\\d*y))(2, 1) = 2}, $math{f(2, 1)=5}
->Tangentplan: $math{z=f(2, 1)+(\\df/(\\d*x))(2, 1)(x-2)+(\\df/(\\d*y))(2, 1)*(y-1) = 5+4(x-2)+2(y-1)}",
,Differentierbarhet och linjär approximation,"Approximation: $math{z = f(a, b) + \\df/\\dx(a, b)*(x-a) + \\df/\\dy(a, b)*(y-b) = f(a, b) + f_(x')(a, b)(x-a) + f_(y')(a, b)*(y-b)}
Krav: Partiella derivator och $math{\lim{(x, y)->(a, b), (f(x, y) - f(a, b) - (\\df/(\\dx))(a, b)*(x-a) + (\\df/(\\dy))(a, b)*(y-b))/\sqrt{(x-a)^2 + (y-b)^2}} = 0}
(Patologisk funktion $math{f(x, y)=\cases{(x=0, y=0): 1, (x!=0, y!=0): 0}})
",
,Multivariable Mean-value theorem,"Continous f_1(x, y), f_2(x, y) in neighbourhood (a, b) -> 0 < (\t_1, \t_2) < 1
$math{f(a+h, b+k)-f(a, b) = h*f_(1')(a+\t_1*h, b+k)+k*f_(2')(a, b+\t_2*k)}

$math{f(a+h, b+k)-f(a, b) = (f(a+h, b+k)-f(a, b+k))-(f(a, b+k)-f(a, b)) = h*f_(1')(a+\t_1*h, b+k) - k*f_(2')(a, b+\t_2*k)}",
,,"f_1, f_2 continous in neighbourhood (a, b) -> f differentiable at (a, b)
$math{\lim{(x, y)->(a, b), (f(x, y) - f(a, b) - (\\df/(\\dx))(a, b)*(x-a) + (\\df/(\\dy))(a, b)*(y-b))/\sqrt{(x-a)^2 + (y-b)^2}} = 0}

Multivariable Mean-value theorem -> 
$math{h=x-a}, $math{k=y-b}
$math{|h/\sqrt{h^2+k^2}|<1}, $math{|k/\sqrt{h^2+k^2}|<1}
$math{0<=|(f(a+h, b+k)-f(a, b)-h*f_1(a, b)-k*f_2(a, b))/\sqrt{h^2+k^2}|=|h/\sqrt{h^2+k^2}*(f_1(a+\t_1*h, b+k)-f_1(a, b)) + k/\sqrt{h^2+k^2}*(f_2(a, b+\t_2*k)-f_2(a, b))|<=|f_1(a+\t_1*h, b+k)-f_1(a, b)|+|f_2(a, b+\t_2*k)-f_2(a, b)|<=0 -> 0}
",
