Name,Basic relationship,Presetted values
Riemann-sums/Riemann-summa,"\int{a, b, f(x)dx} = lim{n->\inf, (b-a)/n*\S{k=1, n, f(a+k(b-a)/n)}}
\S{k=1, n, f(S_k)(x_k-x_k-1)} -> \S{k=1, n, m_k(x_k-x_k-1)} <= \S{k=1, n, f(S_k)(x_k-x_k-1)} <= \S{k=1, n, M_k(x_k-x_k-1)} -> d=max{k=1..n, x_k-x_(k-1)}, d->0",
Approximations,,"f(x) = 1/x, a=1, b=5, c=3"
Integral mean-value theorem/Integralens medelvärdesats,"(f, g continous [a,b], g not changing sign [a, b]) \int{a, b, f(x)g(x)dx} = f(S)\int{a, b, g(x)dx} (S in [a, b])
g(x)=0 [a, b]
g(x)>=0 [a, b], g(x)!=0 x in [a, b] -> m\int{a, b, g(x)dx} <= \int{a, b, f(x)g(x)dx} <= M\int{a, b, g(x)dx} -> (A = \int{a, b, g(x)dx}) m <= 1/A\int{a, b, f(x)g(x)dx}  <= M -> f(S)=1/A\int{a, b, f(x)g(x)dx}
g(x)<=0 -> g(x)=-g(x)",
,"\int{a, b, f(x)dx} = f(S)(b-a)","(f=x^3, a=0, b=1)"
,"lim{n->\inf, \int{A(n), B(n), f(x)dx}} = lim{n->\inf, S->\inf, f(S)(B(n)-A(n))}","(f=e^(1/x), A=n, B=n+1)"
The fundamental theorem of calculus/Integralkalkylens huvudsats,"(f continous in [a, b]), F(x)=\int{a, x, f(t)dt}, x in [a, b], derivable and F'(x)=f(x)

F(x+h)-F(x)=\int{a, x, f(t)dt} + \int{x, x+h, f(t)dt} - \int{a, x, f(t)dt} = f(S)(x+h-x), F'(x)=lim{h->0, (F(x+h)-F(x))/h}=lim{S->x, f(S)=f(x)}
d/dx(\int{a, x, f(t)dt}) = lim{h->0, (\int{a, x+h, f(t)dt}-\int{a, x, f(t)dt})/h} = lim{h->0, \int{x, x+h, f(t)dt}/h} = lim{h->0, (f(c)*(x+h-x))/h} [x<c<x+h] = f(x)",
Integration formula/Insättningsformel,"\int{a, b, f(x)dx} = {[F(x)], a, b} = F(b)-F(a)
\int{a, a, f(t)dt} = -\int{a, a, f(t)dt} -> 2\int{a, a, f(t)dt}=0 -> \int{a, a, f(t)dt}=0 -> \int{a, a, f(t)dt}=F(a)+C=0 -> C=-F(a)
-> \int{a, x, f(t)dt} = F(x)-F(a)","(f=3x^2, a=-3, b=6), (f=cos(x), a=pi/2, b=0), (f=|x|, a=-1, b=3)"
,,"\int{0, pi/2, cos^n(x)} = [t=pi/2-x, dx=-dt] = \int{pi/2, 0, cos^n(pi/2-t)(-dt)} = \int{sin^n(t)dt}"
"Integral with variable limits, Integraler med variabla gränser","S(x) = \int{v(x), u(x), f(t)dt}, s'(t) = f(u(x))u'(x)-f(v(x))v'(x)","(f=sin(t)/t, v=x^2, u=x^3), (f=e^(2t)/t, v=1/2, u=ln(x))"
Approximations,,
"Midpoint Rule, Mittpunktsformeln","\int{a, b, f(x)dx} = (b-a)/n*\S{k=1, n, f(1/2(x_(k-1)+x_k))} = (b-a)/n*\S{k=1, n, f(a+(2k-1)/(2n)(b-a)}",
"Error in midpoint rule, felet i mittpunktsformeln","\e_M_n = \int{a, b, f(x)dx}-M_n = (b-a)^3/(24n^2)f''(S), S in [a, b], f''(x) continous in [a, b]",
"Trapezoid rule, Trapetsformeln","\int{a, b, f(x)dx} = (b-a)/n(1/2f(a)+\S{k=1, n-1, f(a+k(b-a)/n)+1/2f(b))",
"Error in trapezoid rule, Felet i trapetsformeln","\e_T_n = \int{a, b, f(x)dx-T_n = -(b-a)^3/(12n^2)f''(S)",
"Simpsons rule, Simpsons formel","\int{a, b, f(x)dx} = (b-a)/(3n)(1/2f(x_0)+2\S{k=1, n, f(x_(2k-1))+\S{k=1, n-1, f(x_(2k))}+1/2f(x_(2n)))",
"Error in Simpsons rule, felet i Simpsons formel","\e_S_2n = \int{a, b, f(x)dx}-S_(2n) = -(b-a)^5/(180(2n)^4)*f^(4')(S), (S in [a, b], f^(4')(S) continous in [a, b])",
Generalized integral/Generalized integral,"Undefined values of start/end points: \int{0, 1, ln(x)dx}, \int{0, pi/2, tan(x)dx} -> lim{l->0+, \int{l, 1, ln(x)}}
Unlimited integration interval: \int{-\inf, \inf, 1/(x^2+1)}
Both: \int{1, \inf, 1/(x-1)dx}

Suppose that the function f is continuous on a < x < b, where a and b may be finite or infinite, if both limits exists, the integral is convergent, otherwise divergent
\int{a, b, f(x)dx} = lim{x->b-, F(x)} - lim{x->a+, F(x)}",
,"\int{0, 1, x^pdx}, \int{1, \inf, x^pdx}, …",
,"\int{1, \inf, 1/(x-1)dx} = lim{t->\inf-, ln|t-1|} - lim{x->1-, ln|t-1|} = \inf",
,"\int{0, 1, ln(x)} = 1ln(1)-1-lim{x->0, xln(x)-x} = (x=e^(-y), y=-ln(x)) = -1-lim{y->\inf, e^(-y)(-y)}-0",
,"\int{a, b, f...(x)} = {a, b, [F(x)]} = ...
\int{f…(x)} = … = F(x)","a=2, b=\inf, f=(8x+8)/(x^4+4x^2) -> F=ln|x^2/(x^2+4)|-2/x-arctan(x/2)+C, 1+ln(2)+pi/4
a=0, b=pi/2, f=2/(1+tan(x)) -> F=ln|tanx+1|-1/2ln|tan^2(x)+1|+arctan(tan(x))+C, \pi/2"
,"Others: \int{…, f(x)dx} -> Indefinite integral -> …",
Integral applications,,
Integral areas,"The integral of the area forms the ordinate set. In a pair (x, y) of orthorectified coordinates (ortonormerade koordinater) on the plane, the first horizontal coordinate x is called the abscissa (abskissa) and the second vertical coordinate y is called the ordinate (ordinata).
Y_f = {(x, y): a <= x <= b, 0 <= y <= f(x)} -> A=m(Y_f)=\int{a, b, f(x)dx}
m(Y_(-f)) = \int{a, b, -f(x)dx} = -\int{a, b, f(x)dx} = -m(D)",
Cropped area,"f and g are continous and f(x) >= g(x) on [a, b], D: {(x, y): a <= x <= b, g(X) <= y <= f(x)}
m(Y_f\Y_g) = m(Y_f)-m(Y_g) = \int{a, b, f(x)dx}-\int{a, b, g(x)dx} =\int{a, b, (f(x)-g(x))dx}
A=m(D)-m(E) = m(Y_(f+k))-m(Y_(g+k)) = \int{a, b, (f(x)+k)dx} - \int{a, b, (g(x)+k)dx}",
,"f(x) >= g(x) -> f(x) - g(x) >= 0 -> FAC[f(x) - g(x)] >= 0 -> SIGN[f(x)-g(x)] -> x1<x<x2
A = \int{a, x1, f(x)-g(x)} + \int{…} + \int{…}","f(x) = 2x^2-3x-2, g(x)=-x^2+6x-2
f(x)=x^3, g(x)=x"
Function symmetry,"Odd function: f(-x)=-f(x)
Even function: f(-x)=f(x)
even*even = even, even*odd = odd, odd*odd=even",
,"f(x) even -> F(x)=\int{0, x, f(t)dt} odd
F(-x) = \int{0, -x, f(t)dt} = [t=-u, dt/du=-1] = \int{0, x, -f(-u)du} = -\int{0, x, f(u)du}=-F(x)",
,,"\int{-a, a, xsin(x)dx} = 2\int{0, a, xsin(x)dx}"
,,"\int{-\pi/6, \pi/6, (x^3sin^2(x)-cos(x))/cos^3(x)dx} = \int{-\pi/6, \pi/6, (x^3sin^2(x))/cos^3(x)-cos(x)/cos^3(x)dx} = \int{0, \pi/6, -2/cos^2(x)}
\int{-\pi/3, \pi/3, x^9sin^4(x)/cos^5(x)dx}
\int{-1, 1, 2z^97/(z^2+1)+1/(z^2+1)dx}
\int{-\pi/3, \pi/3, (cos(x)/cos^3(x)+sin(x)/cos^3(x))dx}"
Parameterized,"K={x=x(t), y=y(t), t in I}
K={x=R*cos(t), y=R*sin(t)}",
Multiple point/Multipelpunkt,Multiple parameter values give the same point on the curve,
,"x(t_1)=x(t_2) -> REMOVE[t_2=t_1], t_2 = A[:](t_1)
y(t_1)=y(t_2) -> y(t_1)=y(A(t_1)) -> t_1, t_2=A(t_1)","x=t^2, y=t^3-4t, A=-t_1 -> t_1=-2, 2, 0"
Parameterized tangent,"K{x=x(t), y=y(t), t in I}, x'(t), y'(t) continous, x'(t)>0 or x'(t)<0
y'(x)[=(dy/dt)/(dx/dt)]=y'(t)/x'(t)",
