Name,Basic relationship,Presetted values
,"$math{cos(1/2*A) = sqrt((s(s - a))/(b*c))}
$math{cos(1/2*B) = sqrt((s(s - b))/(a*c))}
$math{cos(1/2*C) = sqrt((s(s - c))/(a*b))}",
,"$math{tan(1/2*A) = r/(s - a)}
$math{tan(1/2*B) = r/(s - b)}
$math{tan(1/2*C) = r/(s - c)}",
AREA MEASUREMENT,"$math{K = sqrt(s*(s - a)(s - b)(s - c)) = (abc)/(4R) = rs}
$math{= (1/2)bc*sin(A) = (1/2)ca*sin(B) = (1/2)ab*sin(C)}
$math{= (a^2*sin(B)*sin(C))/(2*sin(A)) = (b^2*sin(C)*sin(A))/(2*sin(B)) = (c^2*sin(A)sin(B))/(2*sin(C))}",
,,
,,
,,
,,
,,
,,
"Basic equations
Reminder list:
1. Add the period 2\pi and second angle after arcsin/arccos
2. Add the period \pi directly after arctan
3. Constants in front of sin/cos/tan should be divided away
4. Constants inside sin/cos/tan should be divided by the angle","Use reduction formula to equivalent domain
$math{sin(v)=sin(A)}
$math{cos(v)=cos(A)}
$math{tan(v)=tan(A)}",$math{A=7\pi/5}
,,
,,
,,
,,
,,
,"$math{a*sin(kx+b)+c=d => a*sin(kx+b)=d-c => sin(kx+b)=(d-c)/a}
$math{=(1)=> kx+b=arcsin((d-c)/a)+2\pi*n => x = (arcsin((d-c)/a)-b+2\pi*n)/k}
$math{=(2)=> kx+b=\pi-arcsin((d-c)/a)+2\pi*n => x = (\pi-arcsin((d-c)/a)-b+2\pi*n)/k}","$math{a=2, k=1/2, b=-10\deg, c=-0.2, d=1.342}
$math{a=1, k=5, b=-1, c=0, d=0}"
,"$math{a*cos(kx+b)+c=d => a*cos(kx+b)=d-c => cos(kx+b)=(d-c)/a}
$math{=(1)=> kx+b=arccos((d-c)/a)+2\pi*n => x = (arccos((d-c)/a)-b+2\pi*n)/k}
$math{=(2)=> kx+b=-arccos((d-c)/a)+2\pi*n => x = (-arccos((d-c)/a)-b+2\pi*n)/k}
$math{[=(2')=> kx+b=2*\pi-arccos((d-c)/a)+2\pi*n => x = (-arccos((d-c)/a)-b+2\pi*n)/k]}","$math{a=3, k=5, b=8.1\deg, c=6, d=7.812}"
,"$math{a*tan(kx+b)+c=d => a*tan(kx+b)=d-c => tan(kx+b)=(d-c)/a}
$math{=> kx+b=arctan((d-c)/a)+\pi*n => x = (arctan((d-c)/a)-b+\pi*n)/k}","$math{a=7, k=8, b=19\deg, c=10, d=28.4}"
,$math{(4sin(x)+1)/(sin(x)+1)=2 => 4sin(x)+1=2(sin(x)+1) => 2sin(x)=1},
